坐标位置X(mm),35.758,36.272,36.745,37.211,37.645,38.192,38.668,40.173,40.422,40.635,41.187,41.654,43.191,43.681,44.192,45.657,46.202,46.632
光强Io(xe-7)A,0.05,0.04,0.17,0.33,0.29,0.1,0.11,4.85,6.82,6.53,6.32,5.2,0.21,0.07,0.24,0.06,0.04,0.08

相对光强I/Io,0.00733,0.00587,0.02493,0.04839,0.04252,0.01466,0.01613,0.71114,1.0,0.95748,0.92669,0.76246,0.03079,0.01026,0.03519,0.0088,0.00587,0.01173
到中央明纹的距离,-4.664,-4.15,-3.677,-3.211,-2.777,-2.23,-1.754,-0.249,0.0,0.213,0.765,1.232,2.769,3.259,3.77,5.235,5.78,6.21
