ÐòºÅ,1,2,3,4,5,6,7,8,9,10
X/cm,0,1,3,5,8,14,18,21,24,27
"U1(mv)(Is+,Im+)",-3.13,-2.4,-1.95,-1.51,-1.95,-2.87,-3.01,-3.03,-2.23,-1.73
"U2(mv)(Is+,Im-)",3.35,2.72,2.22,1.83,2.31,3.26,3.42,3.45,2.85,2.35
"U3(mv)(Is-,Im-)",3.53,4.27,4.75,5.19,4.75,3.85,3.74,3.72,3.01,2.51
"U4(mv)(Is-,Im+)",-3.35,-4.03,-4.53,-4.91,-4.48,-3.53,-3.41,-3.35,-2.83,-2.23
Uh,0.100,0.795,1.278,1.690,1.243,0.312,0.180,0.147,0.190,0.165
B,0.0000739,0.0005875,0.0009444,0.0012489,0.0009186,0.0002306,0.0001330,0.0001086,0.0001404,0.0001219
