ÐòºÅ,1,2,3,4,5,6,7,8,9,10
X/cm,3,4,5,8,15,20,25,27,28,29
"U1(mv)(Is+,Im+)",2.67,3.05,3.15,3.24,3.25,3.24,3.23,3.15,3.01,2.87
"U2(mv)(Is+,Im-)",-1.95,-2.23,-2.35,-2.45,-2.46,-2.45,-2.45,-2.23,-2.1,-1.84
"U3(mv)(Is-,Im-)",9.14,9.45,9.6,9.72,9.83,9.83,9.82,9.72,9.64,9.45
"U4(mv)(Is-,Im+)",-9,-9.26,-9.39,-9.5,-9.55,-9.51,-9.5,-9.35,-9.22,-8.99
Uh,5.690,5.997,6.123,6.228,6.272,6.258,6.250,6.113,5.992,5.787
B,0.0042048,0.0044317,0.0045248,0.0046024,0.0046349,0.0046246,0.0046187,0.0045174,0.0044280,0.0042765
