ÐòºÅ,1,2,3,4,5,6,7,8,9,10
X/cm,0,1,3,5,8,14,18,21,27,31
"U1(mv)(Is+,Im+)",-3.32,-2.61,-2.16,-1.72,-2.09,-3.05,-3.2,-3.22,-3.25,-3.25
"U2(mv)(Is+,Im-)",3.52,2.86,2.41,2.01,2.42,3.37,3.54,3.6,3.65,3.66
"U3(mv)(Is-,Im-)",3.73,4.35,4.85,5.29,4.96,4,3.86,3.83,3.82,3.8
"U4(mv)(Is-,Im+)",-3.43,-4.13,-4.52,-5.01,-4.67,-3.67,-3.5,-3.47,-3.43,-3.44
Uh,0.080,0.752,1.200,1.643,1.280,0.312,0.155,0.120,0.087,0.082
B,0.0000591,0.0005557,0.0008868,0.0012142,0.0009459,0.0002306,0.0001145,0.0000887,0.0000643,0.0000606
